Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64 GNU/Linux
Sep 02 22:22:07 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: RTMAIN on cpu=3 @ 1.000210 sec
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: RTSEQ start on cpu=3 @ 0.000044 sec
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 1 @ 0.009963 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 1 @ 0.019985 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 2 @ 0.029867 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 1 @ 0.039895 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 3 @ 0.049771 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 4 @ 0.069700 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 5 @ 0.089603 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 6 @ 0.109506 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 2 @ 0.119526 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 7 @ 0.129408 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 8 @ 0.149314 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 2 @ 0.159342 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 9 @ 0.169216 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 10 @ 0.189119 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 11 @ 0.209024 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 3 @ 0.219040 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 12 @ 0.228926 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 13 @ 0.248829 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 14 @ 0.268733 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 15 @ 0.288640 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 16 @ 0.308544 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 4 @ 0.318562 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 17 @ 0.328446 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 3 @ 0.338476 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 18 @ 0.348348 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 19 @ 0.368251 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 20 @ 0.388155 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 21 @ 0.408057 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 5 @ 0.418070 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 22 @ 0.427960 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 23 @ 0.447863 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 4 @ 0.457870 sec on core 3
