Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64 GNU/Linux
Sep 02 22:46:14 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: RTMAIN on cpu=0 @ 1.051033 sec
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: RTSEQ start on cpu=3 @ 0.000042 sec
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 1 @ 0.009954 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 1 @ 0.019976 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 2 @ 0.029856 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 1 @ 0.039904 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 3 @ 0.049760 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 4 @ 0.069671 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 5 @ 0.089575 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 6 @ 0.109480 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 2 @ 0.119507 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 7 @ 0.129381 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 8 @ 0.149285 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 2 @ 0.159299 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 9 @ 0.169187 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 10 @ 0.189093 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 11 @ 0.208997 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 3 @ 0.219009 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 12 @ 0.228898 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 13 @ 0.248805 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 14 @ 0.268707 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 15 @ 0.288612 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 16 @ 0.308519 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 4 @ 0.318546 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 17 @ 0.328420 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 3 @ 0.338438 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 18 @ 0.348322 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 19 @ 0.368231 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 20 @ 0.388137 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 21 @ 0.408039 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 5 @ 0.418051 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 22 @ 0.427941 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 23 @ 0.447850 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 4 @ 0.457873 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 24 @ 0.467750 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 25 @ 0.487654 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 26 @ 0.507560 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 6 @ 0.517584 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 27 @ 0.527462 sec on core 3
Sep 02 22:46:15 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 28 @ 0.547367 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 29 @ 0.567273 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 30 @ 0.587178 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 31 @ 0.607084 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 7 @ 0.617107 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 32 @ 0.626985 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 5 @ 0.637011 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 33 @ 0.646887 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 34 @ 0.666793 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 35 @ 0.686702 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 36 @ 0.706607 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 8 @ 0.716636 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 37 @ 0.726508 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 38 @ 0.746412 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 6 @ 0.756436 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 39 @ 0.766314 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 40 @ 0.786217 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 41 @ 0.806121 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 9 @ 0.816137 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 42 @ 0.826023 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 43 @ 0.845926 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 44 @ 0.865830 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 45 @ 0.885733 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 46 @ 0.905640 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 10 @ 0.915668 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 47 @ 0.925541 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 7 @ 0.935572 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 48 @ 0.945443 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 49 @ 0.965351 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 50 @ 0.985258 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 51 @ 1.005162 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 11 @ 1.015172 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 52 @ 1.025064 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 53 @ 1.044968 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 8 @ 1.054977 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 54 @ 1.064869 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 55 @ 1.084779 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 56 @ 1.104682 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 12 @ 1.114702 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 57 @ 1.124584 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 58 @ 1.144489 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 59 @ 1.164396 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 60 @ 1.184297 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 61 @ 1.204202 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 13 @ 1.214212 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 62 @ 1.224104 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 9 @ 1.234118 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 63 @ 1.244006 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 64 @ 1.263912 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 65 @ 1.283816 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 66 @ 1.303723 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 14 @ 1.313733 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 67 @ 1.323624 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 68 @ 1.343539 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 10 @ 1.353570 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 69 @ 1.363439 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 70 @ 1.383344 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 71 @ 1.403247 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 15 @ 1.413272 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 72 @ 1.423149 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 73 @ 1.443057 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 74 @ 1.462971 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 75 @ 1.482872 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 76 @ 1.502778 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 16 @ 1.512788 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 77 @ 1.522680 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 11 @ 1.532691 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 78 @ 1.542582 sec on core 3
Sep 02 22:46:16 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 79 @ 1.562490 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 80 @ 1.582397 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 81 @ 1.602300 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 17 @ 1.612321 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 82 @ 1.622202 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 83 @ 1.642107 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 12 @ 1.652117 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 84 @ 1.662008 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 85 @ 1.681915 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 86 @ 1.701824 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 18 @ 1.711852 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 87 @ 1.721725 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 88 @ 1.741630 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 89 @ 1.761544 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 90 @ 1.781448 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 91 @ 1.801362 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 19 @ 1.811395 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 92 @ 1.821262 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 13 @ 1.831293 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 93 @ 1.841165 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 94 @ 1.861078 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 95 @ 1.880984 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 96 @ 1.900895 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 20 @ 1.910933 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 97 @ 1.920795 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 98 @ 1.940703 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 14 @ 1.950723 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 99 @ 1.960603 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 100 @ 1.980514 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 101 @ 2.000421 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 21 @ 2.010456 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 102 @ 2.020322 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 103 @ 2.040234 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 104 @ 2.060140 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 105 @ 2.080046 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 106 @ 2.099955 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 22 @ 2.109989 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 107 @ 2.119855 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 15 @ 2.129873 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 108 @ 2.139757 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 109 @ 2.159674 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 110 @ 2.179583 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 111 @ 2.199489 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 23 @ 2.209508 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 112 @ 2.219390 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 113 @ 2.239294 sec on core 3
Sep 02 22:46:17 mervspi seqgenex0[41869]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 16 @ 2.249305 sec on core 3
